Time,CameraA Max,,mean,std,SE,,,,,,,,,
20221215_174237,526,,,,,,,,,,,,,
20221215_174237,599,,,,,,,,,,,,,
20221215_174237,583,,,,,,,,,,,,,
20221215_174237,443,,,,,,,,,,,,,
20221215_174237,585,,,,,,,,,,,,,
20221215_174237,509,,,,,,,,,,,,,
20221215_174237,527,,,,,,,,,,,,,
20221215_174237,573,,,,,,,,,,,,,
20221215_174237,527,,,,,,,,,,,,,
20221215_174237,516,,,,,,,,,,,,,
20221215_174237,505,,,,,,,,,,,,,
20221215_174237,583,,,,,,,,,,,,,
20221215_174237,462,,,,,,,,,,,,,
20221215_174237,514,,,,,,,,,,,,,
20221215_174237,536,,,,,,,,,,,,,
20221215_174238,547,,,,,,,,,,,,,
20221215_174238,488,,,,,,,,,,,,,
20221215_174238,512,,,,,,,,,,,,,
20221215_174238,594,,,,,,,,,,,,,
20221215_174238,481,,,,,,,,,,,,,
20221215_174238,518,,,,,,,,,,,,,
20221215_174238,532,,,,,,,,,,,,,
20221215_174238,526,,,,,,,,,,,,,
20221215_174238,482,,,,,,,,,,,,,
20221215_174238,555,,,,,,,,,,,,,
20221215_174238,555,,,,,,,,,,,,,
20221215_174238,503,,,,,,,,,,,,,
20221215_174238,563,,,,,,,,,,,,,
20221215_174238,479,,,,,,,,,,,,,
20221215_174238,482,,,,,,,,,,,,,
20221215_174238,507,,,,,,,,,,,,,
20221215_174238,546,,,,,,,,,,,,,
20221215_174238,481,,,,,,,,,,,,,
20221215_174239,529,,,,,,,,,,,,,
20221215_174239,585,,,,,,,,,,,,,
20221215_174239,547,,,,,,,,,,,,,
20221215_174239,519,,,,,,,,,,,,,
20221215_174239,522,,,,,,,,,,,,,
20221215_174239,465,,,,,,,,,,,,,
20221215_174239,558,,,,,,,,,,,,,
20221215_174239,555,,,,,,,,,,,,,
20221215_174239,542,,,,,,,,,,,,,
20221215_174239,484,,,,,,,,,,,,,
20221215_174239,552,,,,,,,,,,,,,
20221215_174239,552,,,,,,,,,,,,,
20221215_174239,489,,,,,,,,,,,,,
20221215_174239,586,,,,,,,,,,,,,
20221215_174239,460,,,,,,,,,,,,,
20221215_174239,490,,,,,,,,,,,,,
20221215_174239,496,,,,,,,,,,,,,
20221215_174240,473,,,,,,,,,,,,,
20221215_174240,553,,,,,,,,,,,,,
20221215_174240,549,,,,,,,,,,,,,
20221215_174240,512,,,,,,,,,,,,,
20221215_174240,559,,,,,,,,,,,,,
20221215_174240,482,,,,,,,,,,,,,
20221215_174240,500,,,,,,,,,,,,,
20221215_174240,559,,,,,,,,,,,,,
20221215_174240,550,,,,,,,,,,,,,
20221215_174240,610,,,,,,,,,,,,,
20221215_174240,544,,,,,,,,,,,,,
20221215_174240,491,,,,,,,,,,,,,
20221215_174240,507,,,,,,,,,,,,,
20221215_174240,552,,,,,,,,,,,,,
20221215_174240,521,,,,,,,,,,,,,
20221215_174240,534,,,,,,,,,,,,,
20221215_174240,496,,,,,,,,,,,,,
